Date,United_Kingdom,England,Scotland,Wales,Northern_Ireland
01/05/2017,4.3065114,4.5754523,2.7590904,2.1703317,3.1880975
01/06/2017,4.2026844,4.4499006,2.424068,2.6948926,3.1880975
01/07/2017,4.4588366,4.56433,3.7051554,3.1947284,3.3250692
01/08/2017,4.923753,4.9541078,4.509819,5.1418314,3.3250692
01/09/2017,4.691817,4.8485575,2.844432,5.6909246,3.3250692
01/10/2017,5.1308465,5.2443104,3.88665,5.710738,3.632104
01/11/2017,4.3417244,4.3421073,3.9034812,4.6701417,3.632104
01/12/2017,4.5615563,4.508365,5.086601,5.018339,3.632104
01/01/2018,4.3212614,4.0883074,6.1676774,4.599712,4.412278
01/02/2018,4.3735867,3.9939773,7.3312182,5.0562716,4.412278
01/03/2018,3.9657938,3.740059,5.6716876,4.213877,4.412278
01/04/2018,3.324433,3.1381698,5.1991687,2.45096,3.8658257
01/05/2018,3.128024,2.8380132,4.61084,4.9705157,3.8658257
01/06/2018,2.9399672,2.6688786,4.404807,4.302222,3.8658257
01/07/2018,2.8782058,2.723777,2.8534038,5.030317,4.4549036
01/08/2018,2.7286189,2.4694238,3.330551,5.3411107,4.4549036
01/09/2018,2.9165742,2.564716,4.7851706,4.5934544,4.4549036
01/10/2018,2.7183976,2.3775892,4.4597654,3.8198054,5.5265813
01/11/2018,2.5714247,2.4280767,2.1905766,4.6040487,5.5265813
01/12/2018,1.9523729,1.6513036,2.0888522,5.490212,5.5265813
01/01/2019,1.6792883,1.4849305,1.9606827,3.53929,3.9465768
01/02/2019,1.1581129,1.0072945,0.6231838,3.7903683,3.9465768
01/03/2019,1.488917,1.062615,3.4359097,3.818912,3.9465768
01/04/2019,1.2567657,0.93488663,1.5949131,5.132799,3.682985
01/05/2019,0.9818872,0.6090079,1.8811629,4.4409223,3.682985
01/06/2019,0.74171054,0.36076647,1.8136837,3.85285,3.682985
01/07/2019,0.6190358,0.19644572,1.9756193,3.6653235,3.876352
01/08/2019,0.63322544,0.2418943,1.3518151,4.4657774,3.876352
01/09/2019,0.8994865,0.5593147,2.263787,2.5890613,3.876352
01/10/2019,0.73879266,0.43770987,1.6004281,3.3087914,2.469621
01/11/2019,0.8131733,0.3755831,1.9872347,5.218615,2.469621
01/12/2019,0.8980291,0.6967197,1.3611971,2.5881605,2.469621
01/01/2020,1.5879046,1.3313919,2.5025508,2.9374752,3.9050333
01/02/2020,1.2604536,0.9459426,1.8309848,4.361635,3.9050333
01/03/2020,2.4569557,2.5263894,0.6686425,4.462752,3.9050333
01/04/2020,0.68578774,0.7201135,0.65353215,-0.877528,2.8338382
01/05/2020,1.06824,1.0498245,0.9885861,0.6641061,2.8338382
01/06/2020,2.0559783,2.0264828,1.7117618,2.8553135,2.8338382
01/07/2020,1.757493,1.9273974,-0.14389056,2.4175727,2.7784755
01/08/2020,2.5584877,2.8179212,0.2928157,2.9091952,2.7784755
01/09/2020,3.577408,3.5628293,3.696903,3.9186258,2.7784755
01/10/2020,4.821181,4.5659223,6.0413427,6.36092,5.2759414
01/11/2020,6.456045,6.3024373,7.961291,6.4785786,5.2759414
01/12/2020,7.532352,7.3987756,8.313371,9.440123,5.2759414
01/01/2021,7.7784643,7.6709037,7.3358703,11.534801,6.0088215
01/02/2021,8.872664,9.043283,8.153385,8.699817,6.0088215
01/03/2021,9.983366,9.784077,11.891919,11.655611,6.0088215
01/04/2021,9.5802355,9.724583,7.177359,14.194546,6.0088215
01/05/2021,9.984907,9.670518,12.120816,13.273138,6.0088215
